POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGE;MSE_HYB;MAE_HYB;MAPE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
76.04_8.72;0.0022011950979816297;0.04409440586503708;79.625;0.0001972245724921442;0.012662617350517184;24.702;-0.0020039705254894856;-0.031431788514519894;-54.923;76.04;8.72
75.84_8.72;0.002185435192938471;0.043920701470479453;91.23;0.00028152722540330117;0.014437001192199749;30.481;-0.0019039079675351699;-0.029483700278279706;-60.749;75.84;8.72
75.64_8.72;0.0019321544934438873;0.0422379096205502;104.725;0.00047175546041577633;0.018532853872363673;49.856;-0.0014603990330281109;-0.023705055748186526;-54.86899999999999;75.64;8.72
75.44_8.72;0.0016631166221696128;0.03964062591300898;89.997;9.609734059314681e-05;0.007429647627758071;18.701;-0.001567019281576466;-0.03221097828525091;-71.29599999999999;75.44;8.72
76.44_9.72;0.0016087219613705012;0.03901816992092517;53.123;0.00018515953664457384;0.01166251575522617;15.821;-0.0014235624247259273;-0.027355654165698996;-37.302;76.44;9.72
76.24_9.72;0.001676837163537209;0.03975118494503446;52.88;0.00015512312829687964;0.009433828330497643;11.851;-0.0015217140352403293;-0.03031735661453682;-41.029;76.24;9.72
76.04_9.72;0.001639051450202321;0.03780262657779602;56.395;0.0002861276939004213;0.01496201780462847;22.542;-0.0013529237563018998;-0.02284060877316755;-33.853;76.04;9.72
75.84_9.72;0.00165643911138282;0.03742486779352802;62.665;0.0002053731958274664;0.012712302186272773;22.026;-0.0014510659155553536;-0.02471256560725525;-40.638999999999996;75.84;9.72
75.64_9.72;0.0018341182880805126;0.039629305481634056;74.913;0.00039366750388107364;0.01589173926110566;32.81;-0.001440450784199439;-0.023737566220528396;-42.102999999999994;75.64;9.72
75.44_9.72;0.0023112170795030443;0.04577408444728005;85.499;0.0004629134894088332;0.01825105074173823;36.431;-0.001848303590094211;-0.02752303370554182;-49.068;75.44;9.72
76.84_10.72;0.00048462425996174637;0.02089505064879838;39.31;0.0006421217149008824;0.02192533888970983;44.433;0.000157497454939136;0.0010302882409114478;5.1229999999999976;76.84;10.72
76.64_10.72;0.0005021678682437702;0.02102120332781959;39.947;0.00018930250929538023;0.011364196217949065;22.66;-0.00031286535894838995;-0.009657007109870525;-17.287000000000003;76.64;10.72
76.44_10.72;0.0010644408022491426;0.03136859078990896;43.671;9.953034436513431e-05;0.007384644388768602;9.685;-0.0009649104578840083;-0.023983946401140356;-33.986;76.44;10.72
76.24_10.72;0.0011604650840286144;0.03285924768542737;42.436;0.0004037467063832816;0.016698542358321397;21.057;-0.0007567183776453328;-0.01616070532710597;-21.379;76.24;10.72
76.04_10.72;0.0006405951748470959;0.02413283188022639;32.426;0.0003825380495838172;0.01516226186873158;20.719;-0.00025805712526327866;-0.00897057001149481;-11.707;76.04;10.72
75.84_10.72;0.0006383866312638773;0.023558830726898277;37.317;0.0005172940235866288;0.01728725327061174;28.295;-0.00012109260767724853;-0.006271577456286537;-9.021999999999998;75.84;10.72
75.64_10.72;0.000695883307812808;0.023937308298011058;41.343;0.001166428273123378;0.023537316157355877;41.416;0.00047054496531057;-0.00039999214065518027;0.07299999999999329;75.64;10.72
75.44_10.72;0.001267323153212973;0.033603541148168034;60.553;8.894766536323135e-05;0.006923945174377414;12.811;-0.0011783754878497417;-0.026679595973790618;-47.742;75.44;10.72
75.24_10.72;0.0016465164734930885;0.03837840376474508;67.181;0.00014267270171242923;0.00989523985869356;18.362;-0.0015038437717806593;-0.028483163906051517;-48.819;75.24;10.72
77.24_11.72;0.002459794777442104;0.04862679563241356;96.208;0.0002516039173413088;0.013299196700066863;25.123;-0.0022081908601007953;-0.035327598932346695;-71.085;77.24;11.72
