POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.04_8.72;0.0002276465506721176;0.013369125015277055;28.799;-0.19781908221734357;0.00013440833560147584;0.009606988577605224;17.5;0.2927770321264104;-9.323821507064176e-05;-0.0037621364376718303;-11.299;0.09495794990906681;76.04;8.72
75.84_8.72;0.0002456723999913755;0.013921632159072168;35.421;-0.3404406200864649;0.00013229404884201103;0.009593949568048439;20.222;0.27817566454449216;-0.0001133783511493645;-0.004327682591023729;-15.198999999999998;-0.062264955541972755;75.84;8.72
75.64_8.72;0.00010541706607446037;0.008552471981090047;25.868;0.30702747278992015;0.00015283598701265779;0.010718437494166618;27.298;-0.004686851121421531;4.741892093819742e-05;0.0021659655130765714;1.4299999999999997;-0.3023406216684986;75.64;8.72
75.44_8.72;6.616076890229355e-05;0.006259013524985589;15.187;0.453707600402951;0.00019695411730736703;0.011756469497768741;26.321;-0.6262588712240662;0.0001307933484050735;0.005497455972783153;11.134000000000002;0.1725512708211152;75.44;8.72
76.44_9.72;8.459951100264372e-05;0.00767234211590239;10.624;0.17096566662013346;0.00022570699069751195;0.012448051017434968;16.972;-1.2118194579900128;0.00014110747969486823;0.004775708901532579;6.348000000000001;1.0408537913698792;76.44;9.72
76.24_9.72;8.10473496648032e-05;0.0074362320380364725;9.996;0.277581503951017;0.00023679296414662164;0.012594996423938772;16.663;-1.1106626896656162;0.00015574561448181845;0.005158764385902299;6.667;0.8330811857145992;76.24;9.72
76.04_9.72;0.00016163789192381945;0.011351353053595829;18.817;0.07085892986764986;0.00012695276398478575;0.009544772767605838;14.27;0.27023901647593185;-3.46851279390337e-05;-0.0018065802859899907;-4.547000000000001;0.199380086608282;76.04;9.72
75.84_9.72;0.00021937777705970137;0.013334569045210702;25.687;-0.4245351930808998;0.0001171186452021505;0.00935588496734415;16.135;0.23948708892690074;-0.00010225913185755088;-0.003978684077866553;-9.552;-0.18504810415399908;75.84;9.72
75.64_9.72;0.0002354787991549043;0.013791349716608321;30.03;-0.7100077452851243;0.00011462513083235224;0.009589696383073061;18.84;0.16761142730856848;-0.00012085366832255205;-0.00420165333353526;-11.190000000000001;-0.5423963179765559;75.64;9.72
75.44_9.72;0.00011355685218812926;0.009171513824890126;19.309;0.014722316275422642;0.00013919485177386217;0.010402533014175987;19.728;-0.20772616094472385;2.563799958573291e-05;0.0012310191892858612;0.4190000000000005;0.1930038446693012;75.44;9.72
